,GeoName,Description,Year,PriceParity
146,Arkansas,All items,2010,87.7
147,Arkansas,All items,2011,87.6
148,Arkansas,All items,2012,87.8
149,Arkansas,All items,2013,87.8
150,Arkansas,All items,2014,86.9
151,Arkansas,All items,2015,87.4
152,Arkansas,All items,2016,86.8
153,Arkansas,All items,2017,85.7
154,Arkansas,All items,2018,84.7
155,Arkansas,All items,2019,84.7
156,Arkansas,Goods,2008,96.6
157,Arkansas,Goods,2009,96.7
158,Arkansas,Goods,2010,95.7
159,Arkansas,Goods,2011,95.2
160,Arkansas,Goods,2012,94.9
161,Arkansas,Goods,2013,94.6
162,Arkansas,Goods,2014,94.7
163,Arkansas,Goods,2015,94.9
164,Arkansas,Goods,2016,94.8
165,Arkansas,Goods,2017,94.6
166,Arkansas,Goods,2018,94.7
167,Arkansas,Goods,2019,94.7
168,Arkansas,Services: Other,2008,92.5
169,Arkansas,Services: Other,2009,92.2
170,Arkansas,Services: Other,2010,92.4
171,Arkansas,Services: Other,2011,92.9
172,Arkansas,Services: Other,2012,93.5
173,Arkansas,Services: Other,2013,94.1
174,Arkansas,Services: Other,2014,93.3
175,Arkansas,Services: Other,2015,93.4
176,Arkansas,Services: Other,2016,92.4
177,Arkansas,Services: Other,2017,91.1
178,Arkansas,Services: Other,2018,91.1
179,Arkansas,Services: Other,2019,91.0
180,Arkansas,Services: Rents,2008,62.4
181,Arkansas,Services: Rents,2009,61.6
182,Arkansas,Services: Rents,2010,63.2
183,Arkansas,Services: Rents,2011,63.1
184,Arkansas,Services: Rents,2012,63.2
185,Arkansas,Services: Rents,2013,63.2
186,Arkansas,Services: Rents,2014,62.9
187,Arkansas,Services: Rents,2015,63.9
188,Arkansas,Services: Rents,2016,63.7
189,Arkansas,Services: Rents,2017,62.0
190,Arkansas,Services: Rents,2018,60.8
191,Arkansas,Services: Rents,2019,60.9
192,California,All items,2008,113.1
193,California,All items,2009,112.9
194,California,All items,2010,113.6
195,California,All items,2011,113.4
196,California,All items,2012,112.9
197,California,All items,2013,113.1
198,California,All items,2014,113.7
199,California,All items,2015,113.8
200,California,All items,2016,114.7
201,California,All items,2017,115.8
202,California,All items,2018,116.2
203,California,All items,2019,116.4
204,California,Goods,2008,103.5
205,California,Goods,2009,103.2
206,California,Goods,2010,103.0
207,California,Goods,2011,103.0
208,California,Goods,2012,103.1
209,California,Goods,2013,103.7
210,California,Goods,2014,103.7
211,California,Goods,2015,103.8
212,California,Goods,2016,103.9
213,California,Goods,2017,104.9
214,California,Goods,2018,104.8
215,California,Goods,2019,104.9
216,California,Services: Other,2008,105.0
217,California,Services: Other,2009,105.3
218,California,Services: Other,2010,105.6
219,California,Services: Other,2011,105.7
220,California,Services: Other,2012,105.6
221,California,Services: Other,2013,106.0
222,California,Services: Other,2014,106.6
223,California,Services: Other,2015,107.0
224,California,Services: Other,2016,107.1
225,California,Services: Other,2017,107.9
226,California,Services: Other,2018,108.3
227,California,Services: Other,2019,108.3
228,California,Services: Rents,2008,154.6
229,California,Services: Rents,2009,153.7
